소스 파일,페이지 번호,추정 문제 번호,추출된 텍스트
2022.pdf,1,N/A,"홀수형
1
1
20
5지선다형"
2022.pdf,1,1,"1. × 
의 값은? [2점]
①

②

③
④
⑤"
2022.pdf,1,2,"2. 함수 에 대하여 ′의 값은? [2점]
①
②
③
④
⑤"
2022.pdf,1,3,"3. 등차수열 에 대하여
,

일 때, 의 값은? [3점]
①
②
③
④
⑤"
2022.pdf,1,4,"4. 함수 의 그래프가 그림과 같다.
lim
→
lim
→
의 값은? [3점]
①
②
③
④
⑤
2022학년도 대학수학능력시험 문제지
제2 교시
1
홀수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,2,N/A,"2  
홀수형
2
20"
2022.pdf,2,5,"5. 첫째항이 인 수열 이 모든 자연수 에 대하여 









≥
일 때, 


의 값은? [3점]
①
②
③
④
⑤ "
2022.pdf,2,6,"6. 방정식 이 서로 다른 세 실근을 갖도록 
하는 정수 의 개수는? [3점]
①
②
③
④
⑤"
2022.pdf,2,7,"7. 
인 에 대하여 tan
tan

일 때, 
sincos의 값은? [3점]
①



②



③
④



⑤



이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,3,N/A,"홀수형
3
3
20"
2022.pdf,3,8,"8. 곡선 와 직선 로 둘러싸인 부분의 넓이를 
직선 가 이등분할 때, 상수 의 값은? [3점]
①
②


③

④


⑤"
2022.pdf,3,9,"9. 직선 가 두 함수 



,




 
의 그래프와 만나는 점을 각각 P , Q라 하자. 
PQ 일 때, 
상수 의 값은? [4점]
①


②


③


④


⑤

"
2022.pdf,3,10,"10. 삼차함수 에 대하여 곡선  위의 점 에서의 
접선과 곡선  위의 점 에서의 접선이 일치할 때, 
′의 값은? [4점]
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,4,N/A,"4  
홀수형
4
20"
2022.pdf,4,11,"11. 양수 에 대하여 집합 
≤≠
에서 
정의된 함수
tan


가 있다. 그림과 같이 함수 의 그래프 위의 
세 점 O, A , B를 지나는 직선이 있다. 점 A 를 지나고 축에 
평행한 직선이 함수 의 그래프와 만나는 점 중 A 가 
아닌 점을 C라 하자. 삼각형 ABC가 정삼각형일 때, 
삼각형 ABC의 넓이는? (단, O는 원점이다.) [4점]
①


②


③


④


⑤

"
2022.pdf,4,12,"12. 실수 전체의 집합에서 연속인 함수 가 모든 실수 에 
대하여

을 만족시킨다. 함수 의 최댓값이 이고 최솟값이 일 때, 


의 값은? [4점]
①

②
③

④
⑤

이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,5,N/A,"홀수형
5
5
20"
2022.pdf,5,13,"13. 두 상수 , ( )에 대하여 좌표평면 위의
두 점 log, log를 지나는 직선의 절편과 
두 점 log, log를 지나는 직선의 절편이 같다.
함수 에 대하여 일 때, 의 값은? 
[4점]
①
②
③
④
⑤"
2022.pdf,5,14,"14. 수직선 위를 움직이는 점 P 의 시각 에서의 위치 가 
두 상수 , 에 대하여
( ≠)
이다. 점 P 의 시각 에서의 속도 가 


를 
만족시킬 때, <보기>에서 옳은 것만을 있는 대로 고른 것은? 
[4점]
<보 기>
ㄱ. 



ㄴ. 인 이 열린구간 에 존재한다.
ㄷ. ≤≤인 모든 에 대하여 이면 
인 가 열린구간 에 존재한다. 
①ㄱ
②ㄱ, ㄴ
③ㄱ, ㄷ
④ㄴ, ㄷ
⑤ㄱ, ㄴ, ㄷ
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,6,N/A,"6  
홀수형
6
20"
2022.pdf,6,15,"15. 두 점 O, O를 각각 중심으로 하고 반지름의 길이가 
OO인 
두 원 , 가 있다. 그림과 같이 원  위의 서로 다른 세 점 
A , B, C와 원  위의 점 D가 주어져 있고, 세 점 A , O, O와 
세 점 C, O, D가 각각 한 직선 위에 있다. 
이때 ∠BOA , ∠OOC , ∠OOD 이라 하자.
다음은 
AB 
OD 이고 일 때, 선분 AB와 
선분 CD의 길이의 비를 구하는 과정이다. 
∠COO∠OOD 이므로 


이고 
에서 이므로 ∠COB 이다.
이때 ∠OOB 이므로 삼각형 OOB와 
삼각형 OOD는 합동이다. 

AB 라 할 때

BO
OD 이므로 
AO(가) 이고,
∠BOA 

이므로 cos

(나) 이다.
삼각형 OBC에서 

BC , 
BO, ∠COB 
이므로 
코사인법칙에 의하여 
OC (다) 이다.

CD 
OD
OC 
OO
OC 이므로 

AB 
CD 

가

다이다.
(가)

(다)

위의 (가), (다)에 알맞은 식을 각각 , 라 하고, 
(나)에 알맞은 수를 라 할 때, ×의 값은? [4점]
①


②


③


④


⑤


단답형"
2022.pdf,6,16,"16. log
log

의 값을 구하시오. [3점]"
2022.pdf,6,17,"17. 함수 에 대하여 ′이고 일 때, 
의 값을 구하시오. [3점]
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,7,N/A,"홀수형
7
7
20"
2022.pdf,7,18,"18. 수열 에 대하여








, 






일 때, 의 값을 구하시오. [3점]"
2022.pdf,7,19,"19. 함수 이 실수 전체의 집합에서 
증가하도록 하는 실수 의 최댓값을 구하시오. [3점]"
