"연도","시험 종류","문제 번호","대분류","추출된 텍스트"
"2022","수능 공통","1","지수함수와 로그함수","1. × 
의 값은? [2점]
①

②

③
④
⑤"
"2022","수능 공통","2","다항함수의 미분법","2. 함수 에 대하여 ′의 값은? [2점]
①
②
③
④
⑤"
"2022","수능 공통","3","수열","3. 등차수열 에 대하여
,

일 때, 의 값은? [3점]
①
②
③
④
⑤"
"2022","수능 공통","4","함수의 극한과 연속","4. 함수 의 그래프가 그림과 같다.
lim
→
lim
→
의 값은? [3점]
①
②
③
④
⑤"
"2022","수능 공통","5","수열","5. 첫째항이 인 수열 이 모든 자연수 에 대하여 









≥
일 때, 


의 값은? [3점]
①
②
③
④
⑤ "
"2022","수능 공통","6","다항함수의 미분법","6. 방정식 이 서로 다른 세 실근을 갖도록 
하는 정수 의 개수는? [3점]
①
②
③
④
⑤"
"2022","수능 공통","7","삼각함수","7. 
인 에 대하여 tan
tan

일 때, 
sincos의 값은? [3점]
①



②



③
④



⑤


"
"2022","수능 공통","8","다항함수의 적분법","8. 곡선 와 직선 로 둘러싸인 부분의 넓이를 
직선 가 이등분할 때, 상수 의 값은? [3점]
①
②


③

④


⑤"
"2022","수능 공통","9","지수함수와 로그함수","9. 직선 가 두 함수 



,




 
의 그래프와 만나는 점을 각각 P , Q라 하자. 
PQ 일 때, 
상수 의 값은? [4점]
①


②


③


④


⑤

"
"2022","수능 공통","10","다항함수의 미분법","10. 삼차함수 에 대하여 곡선  위의 점 에서의 
접선과 곡선  위의 점 에서의 접선이 일치할 때, 
′의 값은? [4점]
①
②
③
④
⑤"
"2022","수능 공통","11","삼각함수","11. 양수 에 대하여 집합 
≤≠
에서 
정의된 함수
tan


가 있다. ... 삼각형 ABC가 정삼각형일 때, 
삼각형 ABC의 넓이는? (단, O는 원점이다.) [4점]"
